,latitude-longitude,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-VI,ALDH-AL-DH-NI,DMP300-RT0-DMP,FAPAR300-RT0-FAPAR,FCOVER300-RT0-FCOVER,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SSM1km-ssm,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,VCI_y,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4,endemic_percentage_x,endemic_percentage_y
0,444000360,6.211764705882352,1208.0,965.0,2276.0,3080.0,4.0,953.0,0.0,43.66666666666666,0.0,1635.5555555555554,6.0,255.0,120.0,152.0,137.0,175.0,130.0,122.0,124.0,198.0,624.0,575.0,16.0,8.0,182.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.05848200000000001,0.05848200000000001
1,444000361,5.905882352941178,1208.0,965.0,2249.0,3037.0,0.0,953.0,0.0,25.0,0.0,1642.583333333333,7.75,255.0,118.0,148.0,135.0,175.0,129.0,120.0,122.0,198.0,612.0,610.0,26.0,9.0,189.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.0225,0.0225
2,444000362,5.364705882352942,1207.0,965.0,2341.0,3058.0,4.0,953.0,0.0,11.666666666666664,0.0,1714.4444444444446,9.0,255.0,118.0,144.5,133.5,175.0,127.0,119.0,121.5,198.0,633.0,623.0,21.0,14.0,190.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.0225,0.0225
3,444000363,8.061764705882352,1215.0,970.0,2243.0,2922.0,4.0,955.0,0.0,1.0,0.0,1673.166666666667,10.0,255.0,122.0,145.0,135.0,175.0,130.0,122.0,124.0,198.0,586.0,596.0,21.0,9.0,210.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.0225,0.0225
4,444000364,8.03921568627451,1238.0,985.0,2150.0,2922.0,4.0,963.0,0.0,11.666666666666664,0.0,1626.0,9.0,255.0,120.0,149.0,135.0,175.0,128.0,120.0,123.0,198.0,543.0,582.0,13.0,7.0,217.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.0225,0.0225
5,444000365,5.882352941176469,1234.0,982.0,2062.0,2821.0,4.0,961.0,0.0,1.0,0.0,1542.333333333333,10.0,255.0,116.0,140.0,129.0,175.0,124.0,117.0,119.0,198.0,517.0,609.0,13.0,5.0,203.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.0225,0.0225
6,444000366,6.382352941176472,1231.0,980.5,1987.0,2665.5,2.0,961.0,0.0,17.0,0.0,1433.583333333333,8.5,255.0,114.0,137.0,127.0,175.0,122.0,114.0,116.0,198.0,447.5,556.5,6.5,5.5,191.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.062154423,0.062154423
7,444000367,6.580392156862746,1229.0,980.0,1944.0,2598.0,0.0,961.0,0.0,1.0,0.0,1393.333333333333,10.0,255.0,122.0,146.0,135.0,175.0,130.0,123.0,125.0,198.0,461.0,523.0,6.0,6.0,158.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.062154423,0.062154423
8,444000368,8.070588235294117,1232.0,981.0,2064.0,2780.0,0.0,961.0,0.0,11.666666666666664,0.0,1610.4444444444446,9.0,255.0,119.0,146.0,134.0,175.0,128.0,120.0,122.0,198.0,529.0,575.0,6.0,8.0,186.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.100687586,0.100687586
9,444000369,6.791176470588233,1210.0,967.0,2055.0,2910.0,4.0,954.0,0.0,1.0,0.0,1555.833333333333,10.0,255.0,115.0,142.0,131.0,175.0,124.0,116.0,119.0,198.0,555.0,613.0,14.0,7.0,174.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075,0.12787962,0.12787962
