longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,VCI_y,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.6,44.43,0.41930556,161.0,1273.0,1011.0,1407.0,1821.0,980.0,33.0,1492.333333333333,7.0,120.0,147.0,135.0,175.0,129.0,121.0,123.0,198.0,322.0,391.0,21.0,3.0,217.0,89.66666666666669,200.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075
3.6,44.44,0.41398227,182.16666666666663,1268.0,1007.0,1415.0,1799.0,978.0,33.0,1545.416666666667,7.0,121.0,144.0,133.0,175.0,128.0,122.0,124.0,198.0,292.0,398.0,9.0,3.0,182.0,92.16666666666669,178.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075
3.6,44.45,0.41398227,185.66666666666663,1214.0,971.0,1441.0,1873.0,955.0,11.666666666666664,1674.888888888889,9.0,127.5,151.0,139.5,175.0,134.5,128.0,129.5,198.0,266.0,375.0,20.0,3.0,250.0,98.88888888888887,200.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075
3.6,44.46,0.41398227,176.77777777777774,1213.0,971.0,1594.0,1881.0,955.0,22.33333333333333,1559.2222222222224,8.0,124.0,148.0,136.0,175.0,131.0,125.0,126.0,198.0,247.0,367.0,17.0,12.0,188.0,82.44444444444444,306.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.6,44.47,0.41930556,161.16666666666666,1235.0,985.0,1507.0,1962.0,962.0,81.0,1378.083333333333,2.5,139.0,168.0,153.0,175.0,147.0,140.0,142.0,198.0,275.0,412.0,8.0,3.0,250.0,78.91666666666667,196.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.6,44.5,0.41930556,177.83333333333337,1218.5,973.5,1831.5,2445.5,956.0,49.0,1297.9166666666667,5.5,132.0,163.0,150.0,175.0,144.0,134.0,138.0,198.0,369.0,484.0,29.0,2.5,241.5,82.08333333333333,243.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.6,44.51,0.3353915,160.33333333333334,1206.0,965.0,1854.0,2545.0,953.0,33.0,1349.3333333333333,7.0,124.0,153.0,143.0,175.0,138.0,127.0,131.0,198.0,422.0,461.0,18.0,5.0,207.0,81.55555555555556,252.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.6,44.51,0.41930556,160.33333333333334,1206.0,965.0,1854.0,2545.0,953.0,33.0,1349.3333333333333,7.0,124.0,153.0,143.0,175.0,138.0,127.0,131.0,198.0,422.0,461.0,18.0,5.0,207.0,81.55555555555556,252.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.6,44.54,0.3353915,194.22222222222226,1223.0,977.0,1892.0,2438.0,959.0,22.33333333333333,1398.111111111111,8.0,130.5,160.5,150.5,175.0,144.5,133.5,137.5,198.0,349.0,458.0,27.0,1.0,229.0,92.0,305.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.6,44.55,0.3353915,174.75,1233.0,984.0,1564.0,2047.0,961.0,17.0,1635.0,8.5,135.0,161.0,153.0,175.0,147.0,137.0,140.0,198.0,332.0,443.0,11.0,2.0,207.0,94.58333333333331,250.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
