longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,DMP300-RT0-DMP,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.6,44.43,0.41930556,161.0,1273.0,1011.0,1407.0,1821.0,980.0,33.0,1492.333333333333,7.0,120.0,147.0,135.0,175.0,129.0,121.0,123.0,198.0,322.0,391.0,21.0,3.0,89.66666666666669,200.0,1492.333333333333,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.6,44.44,0.41398227,182.16666666666663,1268.0,1007.0,1415.0,1799.0,978.0,33.0,1545.416666666667,7.0,121.0,144.0,133.0,175.0,128.0,122.0,124.0,198.0,292.0,398.0,9.0,3.0,92.16666666666669,178.0,1545.416666666667,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.6,44.45,0.41398227,185.66666666666663,1214.0,971.0,1441.0,1873.0,955.0,11.666666666666664,1674.888888888889,9.0,127.5,151.0,139.5,175.0,134.5,128.0,129.5,198.0,266.0,375.0,20.0,3.0,98.88888888888887,200.0,1674.888888888889,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.61,44.43,0.41398227,176.5,1273.0,1011.0,1449.0,1867.0,980.0,33.0,1637.25,7.0,124.0,147.0,137.0,175.0,132.0,124.0,126.0,198.0,329.0,407.0,12.0,3.0,100.08333333333331,200.0,1637.25,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.61,44.44,0.41398227,186.625,1267.0,1007.0,1410.0,1830.0,978.0,13.0,1644.25,8.875,127.0,149.0,139.0,175.0,134.0,128.0,129.0,198.0,267.0,426.0,7.0,8.0,101.0,217.0,1644.25,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.61,44.45,0.41398227,183.08333333333331,1268.0,1007.0,1419.0,1846.0,978.0,25.0,1782.833333333333,7.75,129.5,155.0,143.0,175.0,137.0,130.5,132.0,198.0,285.0,407.0,6.0,4.0,107.5,214.0,1782.833333333333,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.62,44.44,0.41398227,184.33333333333331,1269.0,1008.0,1527.0,1987.0,978.0,25.0,1605.166666666667,7.75,130.5,150.0,142.0,175.0,137.5,131.5,133.0,198.0,341.0,432.0,5.0,4.0,94.5,214.0,1605.166666666667,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.62,44.45,0.41398227,194.88888888888889,1269.0,1008.0,1494.0,1962.0,978.0,11.666666666666664,1596.4444444444446,9.0,133.5,154.75,145.0,175.0,140.5,134.0,136.0,198.0,285.0,437.0,6.0,5.0,100.11111111111113,214.0,1596.4444444444446,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.63,44.45,0.41398227,164.0,1218.0,973.0,1706.0,2343.0,956.0,17.0,1434.5,8.5,130.5,151.5,143.5,175.0,139.0,131.0,133.5,198.0,364.0,454.0,14.0,4.0,89.16666666666669,246.0,1434.5,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
3.64,44.42,0.37605044,208.77777777777774,1228.0,979.0,1765.0,2280.0,960.0,54.33333333333334,1462.5555555555554,5.0,131.0,153.0,142.0,175.0,138.0,132.0,134.0,198.0,371.0,442.0,6.0,4.0,94.22222222222223,254.0,1462.5555555555554,276.9336,281.792,0.15805855,2.267253,2.3428044,9.2464026e-05,281.75507,282.2905,282.2374,282.19415,282.2636,-4603262.5,12441340.0,-5370235.5,90567.51,14720521.0,25503226.0,0.0025372552,0.3369901,0.3389336,0.3415028,0.37954685
